# BUSCO version is: 3.1.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i Tatroviridev2_Proteins.proteins.fasta -o busco_search_ref -l fungi_odb9/ -m proteins -c 3
#
# Busco id	Status	Sequence	Score	Length
EOG092C5BZ8	Complete	jgi|Triat2|244323|estExt_Genewise1.C_contig_250215	270.8	164
EOG092C5DTV	Complete	jgi|Triat2|228021|estExt_Genewise1Plus.C_contig_271786	139.3	116
EOG092C5E45	Complete	jgi|Triat2|301750|estExt_fgenesh1_kg.C_contig_270384	199.6	123
EOG092C5E5Z	Complete	jgi|Triat2|299178|estExt_fgenesh1_kg.C_contig_220220	195.8	117
EOG092C5EQR	Complete	jgi|Triat2|226772|estExt_Genewise1Plus.C_contig_270487	89.5	76
EOG092C5G05	Complete	jgi|Triat2|298230|estExt_fgenesh1_kg.C_contig_190079	148.8	100
EOG092C5G2T	Complete	jgi|Triat2|129046|Triat1.estExt_fgenesh1_pm.C_100245	252.6	153
EOG092C5GXJ	Complete	jgi|Triat2|129539|Triat1.estExt_fgenesh1_pm.C_130214	166.9	131
EOG092C5HF0	Complete	jgi|Triat2|129048|Triat1.estExt_fgenesh1_pm.C_100251	81.7	93
EOG092C5HRI	Complete	jgi|Triat2|139837|Triat1.estExt_Genewise1.C_50639	185.2	106
EOG092C5JQL	Complete	jgi|Triat2|53018|Triat1.e_gw1.16.360.1	130.2	91
EOG092C5K7L	Complete	jgi|Triat2|154681|Triat1.estExt_Genewise1Plus.C_90618	194.7	133
EOG092C5KDG	Complete	jgi|Triat2|297491|estExt_fgenesh1_kg.C_contig_160041	264.7	153
EOG092C5KXX	Complete	jgi|Triat2|34076|Triat1.e_gw1.2.2813.1	190.6	113
EOG092C5L1U	Complete	jgi|Triat2|303028|estExt_fgenesh1_kg.C_contig_290224	209.8	151
EOG092C5L7Q	Complete	jgi|Triat2|320745|estExt_Genemark.C_contig_261069	118.2	89
EOG092C5N82	Complete	jgi|Triat2|35164|Triat1.e_gw1.2.1748.1	121.5	105
EOG092C5NLC	Complete	jgi|Triat2|148798|Triat1.estExt_Genewise1Plus.C_20064	96.2	87
EOG092C5O2N	Complete	jgi|Triat2|297358|estExt_fgenesh1_kg.C_contig_150116	101.8	97
EOG092C5OAL	Complete	jgi|Triat2|150394|Triat1.estExt_Genewise1Plus.C_30739	136.9	94
EOG092C5OPO	Complete	jgi|Triat2|298559|estExt_fgenesh1_kg.C_contig_200052	84.5	51
EOG092C5OR3	Complete	jgi|Triat2|300169|estExt_fgenesh1_kg.C_contig_250046	140.3	87
EOG092C5Q82	Complete	jgi|Triat2|301694|estExt_fgenesh1_kg.C_contig_270328	257.5	144
EOG092C5QTG	Complete	jgi|Triat2|302500|estExt_fgenesh1_kg.C_contig_280076	128.1	92
EOG092C5S4U	Complete	jgi|Triat2|300854|estExt_fgenesh1_kg.C_contig_260158	47.4	164
EOG092C5T6H	Complete	jgi|Triat2|257160|fgenesh1_kg.contig_24_#_242_#_CBWT_CBYP_CBYT_CCAH_442_1	188.4	101
EOG092C5U93	Complete	jgi|Triat2|300054|estExt_fgenesh1_kg.C_contig_240464	181.1	106
EOG092C5UXM	Complete	jgi|Triat2|316102|estExt_Genemark.C_contig_190074	97.0	98
EOG092C5V3D	Complete	jgi|Triat2|153189|Triat1.estExt_Genewise1Plus.C_60862	214.2	195
EOG092C5XAS	Complete	jgi|Triat2|151694|Triat1.estExt_Genewise1Plus.C_40998	81.2	94
EOG092C5XAZ	Complete	jgi|Triat2|235820|estExt_Genewise1.C_contig_170424	66.3	67
EOG092C5Z2K	Complete	jgi|Triat2|301546|estExt_fgenesh1_kg.C_contig_270180	119.7	79
EOG092C608K	Complete	jgi|Triat2|129632|Triat1.estExt_fgenesh1_pm.C_140175	191.8	205
